genre,bpm,rolloff,centroid,rms,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
1,99.38401442307692,5255.659886410362,2495.546632347308,0.2893572,76192,20.349596,80.35137,-14.231083,39.90656,7.662927,20.692038,1.4143842,9.024804,1.5130658,5.6082935,-2.3355515,7.899021,0.76753825
1,123.046875,5431.88382080834,2900.3160681781287,0.18555064,122126,-5.7961516,63.04025,-23.513584,56.643787,-0.6078998,6.1099076,-3.358388,8.9018345,-4.6398554,8.983838,0.95931196,3.3674161,-9.980425
1,135.99917763157896,5294.859649374758,3015.9644125745563,0.14034234,125400,-64.627205,43.71983,-11.004398,88.343636,8.338187,8.727283,3.209645,7.177145,4.2333484,2.649901,-5.3933816,6.5177536,-7.831575
1,112.34714673913044,4621.780386059646,2567.7217795260062,0.26675075,101395,19.851498,75.27666,-47.387444,35.881866,-0.14119405,8.752688,12.9231615,20.431547,2.8207078,11.649058,2.7139962,5.793458,3.489378
1,112.34714673913044,5105.277462418972,2640.465722823457,0.27569154,92835,30.86515,74.30287,-27.555815,38.628204,4.5038586,10.329704,1.9215411,8.888437,2.7531624,12.144093,-2.000765,7.9746118,-0.8955976
1,135.99917763157896,5536.52485472499,2869.964154995209,0.22701062,97264,-13.555646,51.724197,-13.52725,63.47615,17.216812,16.991127,6.080001,12.906477,0.87339336,10.230915,2.5455608,4.5122805,-8.683063
1,99.38401442307692,4505.68942137916,2395.9804511437765,0.29504722,97907,22.631178,84.510895,-29.724434,50.791553,2.506666,4.440642,2.1714382,18.348093,1.9043921,5.2859106,5.180725,11.79028,-5.546876
1,161.4990234375,4780.196094808195,2601.3203617629392,0.18352626,104310,-11.798345,76.317795,-40.219517,35.790314,-0.21274744,7.9594064,7.650272,8.383623,-6.329087,8.063229,2.0525072,3.6035526,-10.263622
1,112.34714673913044,6126.912951395608,2948.551922083569,0.23965372,119788,42.02134,70.50687,-19.415676,10.409082,-6.597088,7.358822,-6.2256746,18.590826,-0.31091374,5.7566366,-4.7523317,3.9288416,-0.45847577
1,99.38401442307692,5043.544502376403,2456.3139556688407,0.15630683,76841,-38.654194,82.58397,-16.743992,41.439022,6.940638,11.617566,3.9317904,13.684252,-3.3296912,7.0830297,5.591635,8.6961565,-1.8428105
1,95.703125,5304.667923398801,2674.2641820201725,0.27746576,91075,25.617142,73.77127,-12.018328,46.758617,-4.3362045,17.140676,7.374904,11.281857,3.2666712,1.8896769,-2.2890818,6.0547156,-1.7216421
1,89.10290948275862,5924.797506893382,2990.2127946489654,0.13937798,104263,-32.13139,55.0343,-24.007519,32.366013,5.8718524,26.483614,7.4610567,22.972164,7.248928,7.255047,-3.2378602,12.531215,0.11726651
1,151.99908088235293,5080.8359435468265,2459.3297369794586,0.30095395,66961,9.027234,74.383286,-12.036007,56.106087,5.08265,19.30888,6.1588306,18.659483,8.052161,8.228753,0.21699601,9.64638,-0.0003274262
1,151.99908088235293,5702.265519180534,2749.025428445697,0.15411364,91740,-24.739828,72.08335,-6.324095,37.13389,2.9476757,7.408105,0.099677026,12.6375475,3.8660643,6.368407,4.2779512,8.85123,-2.8080068
1,80.74951171875,4723.246439174971,2554.4121349192765,0.16851805,106428,-15.119077,80.21799,-32.63627,35.003277,5.139696,9.684815,11.761575,5.8727245,-1.4703784,3.4981995,-3.7253954,9.249212,-6.476937
1,123.046875,5479.666865204141,2569.256340552789,0.27221787,79122,26.297186,80.28972,-13.821379,34.413036,5.0164165,17.647816,-1.3075504,12.6947775,0.39881334,8.851175,3.1638227,6.4759274,-0.7915591
1,107.666015625,6098.679788784346,3264.174326960874,0.1306872,126219,-59.939835,40.42629,-8.357686,61.15625,10.113433,3.1913307,-0.5598472,6.8196306,-3.7440689,-0.6220008,-7.560401,-0.36022174,-9.325025
